x, y, length, r, ctrl
-0.066, 0.072, 0.000, 5000.000, 0.000
0.756, 0.926, 1.185, 5000.000, 0.000
1.577, 1.779, 2.370, 5000.000, 0.000
2.400, 2.632, 3.554, 5000.000, 0.000
3.223, 3.484, 4.739, 5000.000, 0.000
4.046, 4.336, 5.923, 5000.000, 0.000
4.870, 5.187, 7.108, 5000.000, 0.000
5.695, 6.037, 8.292, 5000.000, 0.000
6.520, 6.886, 9.477, 5000.000, 0.000
7.346, 7.735, 10.661, 5000.000, 0.000
8.173, 8.583, 11.846, 5000.000, 0.000
9.000, 9.431, 13.030, 5000.000, 0.000
9.828, 10.278, 14.214, 5000.000, 0.000
10.656, 11.124, 15.398, 5000.000, 0.000
11.485, 11.969, 16.582, 5000.000, 0.000
12.743, 13.222, 18.357, 5000.000, 0.000
13.586, 14.052, 19.540, 5000.000, 0.000
14.430, 14.881, 20.723, 5000.000, 0.000
15.279, 15.705, 21.905, 5000.000, 0.000
16.132, 16.524, 23.087, 5000.000, 0.000
16.993, 17.334, 24.269, 5000.000, 0.000
17.816, 18.187, 25.454, 5000.000, 0.000
18.635, 19.043, 26.639, 5000.000, 0.000
19.451, 19.902, 27.824, 5000.000, 0.000
20.266, 20.764, 29.009, 5000.000, 0.000
21.080, 21.626, 30.195, 5000.000, 0.000
21.893, 22.488, 31.380, 5000.000, 0.000
22.708, 23.349, 32.566, 5000.000, 0.000
23.525, 24.209, 33.751, 5000.000, 0.000
24.344, 25.065, 34.936, 5000.000, 0.000
25.166, 25.917, 36.121, 5000.000, 0.000
25.993, 26.765, 37.305, 5000.000, 0.000
26.826, 27.607, 38.489, 5000.000, 0.000
27.664, 28.442, 39.672, 5000.000, 0.000
28.544, 29.232, 40.851, 5000.000, 0.000
29.419, 30.027, 42.031, 5000.000, 0.000
30.291, 30.825, 43.212, 5000.000, 0.000
31.162, 31.624, 44.393, 5000.000, 0.000
32.035, 32.422, 45.574, 5000.000, 0.000
32.910, 33.217, 46.755, 5000.000, 0.000
33.789, 34.007, 47.936, 5000.000, 0.000
34.628, 34.842, 49.119, 5000.000, 0.000
35.460, 35.684, 50.303, 5000.000, 0.000
36.287, 36.532, 51.487, 5000.000, 0.000
37.110, 37.384, 52.672, 5000.000, 0.000
37.929, 38.240, 53.857, 5000.000, 0.000
38.745, 39.100, 55.042, 5000.000, 0.000
39.560, 39.961, 56.227, 5000.000, 0.000
40.374, 40.823, 57.413, 5000.000, 0.000
41.188, 41.685, 58.599, 5000.000, 0.000
42.002, 42.547, 59.784, 5000.000, 0.000
42.819, 43.406, 60.969, 5000.000, 0.000
43.638, 44.262, 62.154, 5000.000, 0.000
44.461, 45.115, 63.339, 5000.000, 0.000
45.288, 45.962, 64.523, 5000.000, 0.000
46.154, 46.767, 65.704, 5000.000, 0.000
47.013, 47.579, 66.885, 5000.000, 0.000
47.869, 48.395, 68.067, 5000.000, 0.000
48.722, 49.215, 69.249, 5000.000, 0.000
49.573, 50.035, 70.431, 5000.000, 0.000
50.426, 50.855, 71.613, 5000.000, 0.000
51.281, 51.671, 72.795, 5000.000, 0.000
52.141, 52.483, 73.977, 5000.000, 0.000
53.007, 53.288, 75.159, 5000.000, 0.000
53.834, 54.136, 76.343, 5000.000, 0.000
54.657, 54.988, 77.527, 5000.000, 0.000
55.476, 55.844, 78.712, 5000.000, 0.000
56.293, 56.704, 79.897, 5000.000, 0.000
57.107, 57.565, 81.083, 5000.000, 0.000
57.921, 58.427, 82.268, 5000.000, 0.000
58.735, 59.289, 83.454, 5000.000, 0.000
59.549, 60.151, 84.639, 5000.000, 0.000
60.366, 61.010, 85.825, 5000.000, 0.000
61.185, 61.866, 87.010, 5000.000, 0.000
62.008, 62.719, 88.194, 5000.000, 0.000
62.835, 63.566, 89.379, 5000.000, 0.000
63.701, 64.371, 90.559, 5000.000, 0.000
64.561, 65.183, 91.740, 5000.000, 0.000
65.416, 65.999, 92.922, 5000.000, 0.000
66.269, 66.819, 94.104, 5000.000, 0.000
67.121, 67.639, 95.286, 5000.000, 0.000
67.973, 68.459, 96.469, 5000.000, 0.000
68.829, 69.275, 97.651, 5000.000, 0.000
69.688, 70.087, 98.833, 5000.000, 0.000
70.555, 70.892, 100.014, 5000.000, 0.000
71.382, 71.740, 101.198, 5000.000, 0.000
72.204, 72.592, 102.383, 5000.000, 0.000
73.023, 73.448, 103.568, 5000.000, 0.000
73.840, 74.308, 104.753, 5000.000, 0.000
74.654, 75.169, 105.938, 5000.000, 0.000
75.468, 76.031, 107.124, 5000.000, 0.000
76.282, 76.893, 108.309, 5000.000, 0.000
77.097, 77.755, 109.495, 5000.000, 0.000
77.913, 78.614, 110.680, 5000.000, 0.000
78.732, 79.470, 111.865, 5000.000, 0.000
79.555, 80.323, 113.050, 5000.000, 0.000
80.382, 81.170, 114.234, 5000.000, 0.000
81.214, 82.012, 115.418, 5000.000, 0.000
82.087, 82.810, 116.598, 5000.000, 0.000
82.954, 83.614, 117.778, 5000.000, 0.000
83.817, 84.422, 118.960, 5000.000, 0.000
84.679, 85.231, 120.141, 5000.000, 0.000
85.540, 86.041, 121.323, 5000.000, 0.000
86.404, 86.849, 122.505, 5000.000, 0.000
87.271, 87.653, 123.686, 5000.000, 0.000
88.143, 88.451, 124.868, 5000.000, 0.000
88.975, 89.293, 126.051, 5000.000, 0.000
89.802, 90.140, 127.235, 5000.000, 0.000
90.625, 90.993, 128.420, 5000.000, 0.000
91.444, 91.849, 129.604, 5000.000, 0.000
92.261, 92.708, 130.789, 5000.000, 0.000
93.075, 93.570, 131.975, 5000.000, 0.000
93.889, 94.432, 133.160, 5000.000, 0.000
94.703, 95.294, 134.346, 5000.000, 0.000
95.517, 96.155, 135.531, 5000.000, 0.000
96.334, 97.014, 136.717, 5000.000, 0.000
97.153, 97.871, 137.902, 5000.000, 0.000
97.976, 98.723, 139.086, 5000.000, 0.000
98.803, 99.571, 140.271, 5000.000, 0.000
99.635, 100.413, 141.454, 5000.000, 0.000
100.474, 101.247, 142.637, 5000.000, 0.000
101.320, 102.075, 143.820, 5000.000, 0.000
102.173, 102.893, 145.002, 5000.000, 0.000
103.070, 103.665, 146.180, 5000.000, 0.000
103.963, 104.439, 147.359, 5000.000, 0.000
104.856, 105.215, 148.539, 5000.000, 0.000
105.750, 105.990, 149.719, 5000.000, 0.000
106.646, 106.761, 150.900, 5000.000, 0.000
107.500, 107.580, 152.082, 5000.000, 0.000
108.345, 108.407, 153.265, 5000.000, 0.000
109.184, 109.242, 154.449, 5000.000, 0.000
110.016, 110.083, 155.632, 5000.000, 0.000
110.844, 110.931, 156.816, 5000.000, 0.000
111.666, 111.783, 158.001, 5000.000, 0.000
112.485, 112.640, 159.186, 5000.000, 0.000
113.302, 113.499, 160.371, 5000.000, 0.000
114.116, 114.360, 161.557, 5000.000, 0.000
114.930, 115.222, 162.742, 5000.000, 0.000
115.744, 116.085, 163.928, 5000.000, 0.000
116.559, 116.946, 165.113, 5000.000, 0.000
117.375, 117.805, 166.298, 5000.000, 0.000
118.194, 118.662, 167.483, 5000.000, 0.000
119.050, 119.477, 168.665, 5000.000, 0.000
119.899, 120.302, 169.847, 5000.000, 0.000
120.741, 121.133, 171.030, 5000.000, 0.000
121.578, 121.969, 172.213, 5000.000, 0.000
122.413, 122.808, 173.397, 5000.000, 0.000
123.247, 123.648, 174.580, 5000.000, 0.000
124.082, 124.487, 175.764, 5000.000, 0.000
124.920, 125.323, 176.947, 5000.000, 0.000
125.762, 126.154, 178.130, 5000.000, 0.000
126.610, 126.978, 179.313, 5000.000, 0.000
127.466, 127.794, 180.495, 5000.000, 0.000
128.286, 128.650, 181.680, 5000.000, 0.000
129.102, 129.510, 182.865, 5000.000, 0.000
129.917, 130.371, 184.050, 5000.000, 0.000
130.730, 131.233, 185.236, 5000.000, 0.000
131.544, 132.095, 186.421, 5000.000, 0.000
132.359, 132.957, 187.607, 5000.000, 0.000
133.175, 133.816, 188.792, 5000.000, 0.000
133.994, 134.672, 189.977, 5000.000, 0.000
134.817, 135.525, 191.162, 5000.000, 0.000
135.678, 136.335, 192.343, 5000.000, 0.000
136.531, 137.154, 193.525, 5000.000, 0.000
137.380, 137.978, 194.707, 5000.000, 0.000
138.224, 138.807, 195.890, 5000.000, 0.000
139.067, 139.637, 197.073, 5000.000, 0.000
139.910, 140.467, 198.256, 5000.000, 0.000
140.755, 141.295, 199.439, 5000.000, 0.000
141.603, 142.120, 200.621, 5000.000, 0.000
142.457, 142.938, 201.804, 5000.000, 0.000
143.317, 143.749, 202.985, 5000.000, 0.000
144.140, 144.601, 204.170, 5000.000, 0.000
144.959, 145.458, 205.355, 5000.000, 0.000
145.776, 146.317, 206.540, 5000.000, 0.000
146.590, 147.178, 207.725, 5000.000, 0.000
147.404, 148.040, 208.910, 5000.000, 0.000
148.218, 148.903, 210.096, 5000.000, 0.000
149.032, 149.764, 211.281, 5000.000, 0.000
149.849, 150.623, 212.466, 5000.000, 0.000
150.668, 151.479, 213.651, 5000.000, 0.000
151.491, 152.332, 214.836, 5000.000, 0.000
152.318, 153.179, 216.020, 5000.000, 0.000
153.150, 154.021, 217.204, 5000.000, 0.000
154.022, 154.819, 218.384, 5000.000, 0.000
154.889, 155.623, 219.565, 5000.000, 0.000
155.719, 156.468, 220.749, 5000.000, 0.000
156.560, 157.301, 221.932, 5000.000, 0.000
157.412, 158.121, 223.115, 5000.000, 0.000
158.310, 158.891, 224.294, 5000.000, 0.000
159.209, 159.660, 225.474, 5000.000, 0.000
160.110, 160.426, 226.654, 5000.000, 0.000
160.969, 161.238, 227.836, 5000.000, 0.000
161.820, 162.059, 229.019, 5000.000, 0.000
162.664, 162.888, 230.202, 5000.000, 0.000
163.502, 163.724, 231.385, 5000.000, 0.000
